"participantID","block","randomSeed","letterSeparation","letterEccentricity","itemRate","condition","expDegrees","letterOrder1","target1","response1","responseLetter1","RT1","letterOrder2","target2","response2","responseLetter2","RT2","endTime","resp1otherStream","resp2otherStream","condName","oneQueriedFirst"
"AU","1",216039.9,8.485281,6,8,"3","0,180","22,12,4,24,5,16,21,23,7,10,2,1,3,18,13,20,15,17,19,8,9,6,11,14","9",2,"12","2.21262581599876","24,1,2,23,19,20,14,15,10,13,5,21,22,9,7,4,17,18,6,16,11,3,8,12","9",10,"13","3.53206306416541",736194.6,24,15,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","2,23,19,15,14,3,1,24,20,8,11,10,22,7,5,17,18,21,16,9,6,13,4,12","16",17,"18","3.87090258509852","15,7,17,21,12,14,20,19,9,24,13,8,2,16,1,23,6,11,3,5,4,22,18,10","16",15,"1","2.1122973789461",736194.6,23,7,"Inverted",TRUE
"AU","1",216039.9,8.485281,6,8,"3","0,180","8,5,15,16,2,18,9,20,14,11,7,22,23,17,24,4,19,1,3,13,10,6,21,12","18",18,"1","1.70751835708506","5,16,22,20,3,9,23,7,4,21,12,19,6,10,17,8,18,15,14,11,2,1,24,13","18",19,"14","5.12296955590136",736194.6,22,9,"Inverted",FALSE
"AU","1",216039.9,8.485281,6,8,"3","0,180","19,13,14,24,17,22,6,9,12,5,18,11,3,7,21,23,4,10,20,2,16,1,8,15","16",17,"4","3.79959946591407","9,16,18,5,20,2,6,8,22,23,10,3,1,14,24,7,11,4,15,19,17,12,13,21","16",17,"11","1.72098848992027",736194.6,18,12,"Inverted",TRUE
"AU","1",216039.9,8.485281,6,8,"3","0,180","4,7,24,20,16,10,3,14,21,12,6,8,13,22,11,19,5,9,23,18,17,15,1,2","16",16,"19","1.94084434397519","4,13,8,14,6,7,23,1,12,16,20,21,11,5,3,15,19,24,18,22,2,10,9,17","16",16,"15","3.72568562580273",736194.6,17,22,"Inverted",FALSE
"AU","2",213217.3,8.485281,6,8,"4","270,90","9,2,4,3,19,17,5,13,22,16,7,20,12,6,8,21,1,10,24,15,14,23,11,18","12",6,"17","4.82130774809048","4,11,1,21,7,18,14,17,13,19,23,2,10,15,5,22,6,24,3,12,9,8,20,16","12",12,"2","2.77512388722971",736194.6,8,2,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","13,18,4,19,21,15,10,20,16,1,22,24,9,7,17,3,12,23,11,2,14,6,5,8","11",21,"14","3.66772707505152","19,2,7,11,20,23,17,16,9,21,22,14,12,15,3,13,18,1,6,24,10,5,8,4","11",13,"12","1.81908723409288",736194.6,12,17,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","21,12,19,9,20,2,7,24,13,14,8,3,4,16,1,5,11,10,23,22,6,18,15,17","18",18,"10","4.1079689511098","2,14,20,8,4,11,3,1,5,22,21,13,6,17,9,24,19,10,7,23,12,15,18,16","18",20,"23","2.55560115119442",736194.6,18,19,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","5,14,1,2,13,18,20,8,4,12,6,11,23,9,16,10,19,22,15,7,17,24,21,3","7",2,"14","4.99750325921923","12,9,15,17,3,21,20,24,23,10,13,2,8,14,5,11,6,1,18,16,7,4,19,22","7",11,"13","6.74862686614506",736194.6,14,5,"Upwards",FALSE
"AU","2",213217.3,8.485281,6,8,"4","270,90","22,4,12,24,19,18,3,16,17,5,11,20,1,9,15,14,10,21,6,8,7,23,13,2","11",17,"10","3.52382296207361","11,8,21,19,22,5,23,1,7,6,12,13,24,16,4,3,20,9,14,18,15,2,17,10","11",11,"12","1.58763530198485",736194.6,24,3,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","2,15,6,14,9,18,12,4,1,11,7,20,23,21,22,8,13,3,16,10,24,5,17,19","15",17,"13","3.24758181907237","4,18,8,12,21,13,3,17,5,24,16,1,11,14,15,19,20,23,10,2,6,9,22,7","15",15,"15","1.67095371708274",736194.6,6,2,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","20,10,3,16,9,7,8,15,1,5,17,11,13,21,2,4,6,23,14,22,12,19,18,24","11",11,"17","3.49953255592845","7,19,4,22,15,21,10,2,18,3,24,9,1,16,12,14,6,11,17,13,5,8,20,23","11",18,"11","1.76266101398505",736194.6,19,12,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","12,17,8,21,5,6,20,16,11,1,18,13,7,23,24,3,2,22,4,19,9,10,14,15","15",1,"12","1.80163330491632","11,6,5,2,10,20,1,24,18,14,21,13,22,17,7,23,19,9,12,16,15,8,4,3","15",16,"23","4.26425631693564",736194.6,19,14,"Upwards",FALSE
"AU","2",213217.3,8.485281,6,8,"4","270,90","15,13,8,24,19,5,12,18,2,3,9,11,14,10,4,17,7,20,6,21,1,23,16,22","9",9,"2","3.95391356898472","5,20,21,2,4,17,10,22,1,6,24,3,13,16,11,7,12,9,15,14,8,19,18,23","9",9,"1","2.03376698610373",736194.6,4,21,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","2,6,18,23,11,3,21,14,5,1,15,7,4,12,13,16,22,9,17,10,8,20,19,24","9",13,"4","5.36439087498002","14,3,17,2,5,18,20,12,4,16,19,10,1,21,24,22,15,7,11,6,8,13,23,9","9",8,"12","3.94048096495681",736194.6,9,14,"Upwards",TRUE
"AU","2",213217.3,8.485281,6,8,"4","270,90","2,18,24,16,4,5,13,21,17,15,19,10,11,1,9,6,14,12,3,23,20,7,8,22","11",11,"19","2.20846858597361","1,18,3,7,4,24,5,9,21,20,14,12,11,15,8,10,23,16,22,6,13,19,2,17","11",12,"12","4.04807047988288",736194.6,22,18,"Upwards",FALSE
